No.,ID,MT,W,D
1,3.5849625007211565,0.8146631717681885,160,960
2,3.0,0.7733228206634521,100,430
3,1.5849625007211563,0.7666058540344238,120,210
4,2.584962500721156,0.7154049873352051,140,430
5,3.0,0.7279329299926758,180,760
6,3.5849625007211565,0.7311801910400391,120,750
7,2.584962500721156,0.6274831295013428,180,550
8,3.5849625007211565,0.8295462131500244,140,860
9,3.700439718141092,0.9045140743255615,120,830
10,8.247927513443585,1.7513890266418457,5,762
11,7.754887502163469,1.3447108268737793,5,542
12,5.672425341971496,1.0775480270385742,20,512
13,7.357552004618085,1.139235019683838,5,412
14,2.807354922057604,0.6925981044769287,160,582
15,5.614709844115208,0.8551909923553467,20,490
16,2.0,0.5777339935302734,160,390
17,6.807354922057604,2.1316330432891846,5,282
18,6.930737337562887,1.4678840637207031,5,305
19,2.321928094887362,0.6521751880645752,140,373
20,3.0,0.6675009727478027,160,650
21,2.0,0.6134800910949707,140,300
22,4.169925001442312,0.6525821685791016,20,180
23,2.321928094887362,0.6769468784332275,140,380
24,2.584962500721156,0.5865709781646729,100,320
25,1.5849625007211563,0.5599780082702637,200,350
26,3.1699250014423126,0.9113390445709229,180,890
27,5.643856189774724,0.9061839580535889,40,1010
28,4.0,0.9438040256500244,120,980
29,3.5849625007211565,0.7342138290405273,120,720
30,3.8073549220576037,0.7006371021270752,40,280
31,3.9068905956085187,0.873103141784668,120,910
32,2.807354922057604,0.8385348320007324,140,530
33,2.584962500721156,0.8078439235687256,200,670
34,4.754887502163469,0.8212549686431885,60,830
35,3.0,0.8321981430053711,140,600
36,2.321928094887362,0.5850811004638672,120,330
37,3.0,0.7258598804473877,100,410
38,4.0,0.8524651527404785,100,800
39,2.584962500721156,0.5943210124969482,200,650
40,2.321928094887362,0.7181820869445801,100,250
41,3.0,0.9601740837097168,180,750
42,3.5849625007211565,0.9515678882598877,100,640
43,3.1699250014423126,0.8306970596313477,160,730
44,4.807354922057604,0.8228168487548828,80,1120
45,4.247927513443585,0.8964991569519043,100,990
46,3.3219280948873626,0.847883939743042,180,940
47,4.169925001442312,0.9031641483306885,80,730
48,2.321928094887362,0.6175718307495117,200,540
49,7.906890595608519,1.5559170246124268,5,602
50,3.700439718141092,0.6848528385162354,100,652
51,3.1699250014423126,0.643280029296875,120,540
52,2.807354922057604,0.6585850715637207,200,760
53,7.912889336229962,1.2447178363800049,5,603
54,3.8073549220576037,0.8733639717102051,60,433
55,2.807354922057604,0.8215529918670654,40,150
56,2.0,0.8305089473724365,200,420
57,3.0,0.8167879581451416,200,800
58,3.4594316186372978,0.853726863861084,120,660
59,2.321928094887362,0.7569751739501953,180,450
60,3.3219280948873626,0.6602969169616699,60,320
61,3.0,0.9194037914276123,80,343
62,3.9068905956085187,0.7004721164703369,60,470
63,7.426264754702098,1.100633144378662,5,432
